minus100_cycle_number,below100_segment,phase,thermocouple,cold_min_THM_C,n_samples,start_min,end_min,duration_min,slope_degC_per_min,intercept_degC,r_squared,temperature_start_fit_degC,temperature_end_fit_degC,temperature_start_sample_degC,temperature_end_sample_degC,window_center_min,window_width_min
1,15,cooldown,TFO_C,-122.347778,23,56.45988333333333,57.226866666666666,0.7669833333333358,0.5119354982706287,-92.24682532848328,0.25205962459401854,-63.34300682193172,-62.95036082701645,-63.8012794,-63.2621486,,
1,15,cooldown,THM_C,-122.347778,23,56.45988333333333,57.226866666666666,0.7669833333333358,-28.546486549936585,1507.8591951605765,0.9380511563620069,-103.87210502541211,-125.7667844344378,-100.367778,-122.347778,,
1,15,warmup,TFO_C,-122.347778,38,57.226866666666666,58.516949999999994,1.2900833333333281,-3.7243353254609617,150.55627889287496,0.87335352182893,-62.575762199236095,-67.38046513035783,-63.2621486,-67.2656945,,
1,15,warmup,THM_C,-122.347778,38,57.226866666666666,58.516949999999994,1.2900833333333281,15.444792916916345,-1009.5925226136358,0.9095373395355687,-125.73541766298638,-105.81034773408794,-122.347778,-101.057778,,
2,17,cooldown,TFO_C,-122.997778,34,60.225116666666665,61.37571666666667,1.1506000000000043,-1.4549438104691057,20.966658130054142,0.9221490979144673,-66.65750259889231,-68.33156094721807,-66.7964509,-68.6734251,,
2,17,cooldown,THM_C,-122.997778,34,60.225116666666665,61.37571666666667,1.1506000000000043,-15.293735104737888,811.5467591384976,0.7031551942515231,-109.52022181343727,-127.11719342494871,-100.927778,-122.997778,,
2,17,warmup,TFO_C,-122.997778,19,61.37571666666667,62.003283333333336,0.6275666666666666,-1.6301357141291661,31.2939729273727,0.9053962505305264,-68.75677479123334,-69.77979362756366,-68.6734251,-69.5919443,,
2,17,warmup,THM_C,-122.997778,19,61.37571666666667,62.003283333333336,0.6275666666666666,32.886214492662695,-2144.566066836089,0.9258962073499728,-126.15108389519605,-105.51279188675062,-122.997778,-101.907778,,
3,19,cooldown,TFO_C,-125.507778,22,63.95583333333333,64.68808333333332,0.7322499999999934,-1.6384525172946707,35.993432079286364,0.8871675092879304,-68.79516404139204,-69.99492089718105,-69.102733,-70.1610269,,
3,19,cooldown,THM_C,-125.507778,22,63.95583333333333,64.68808333333332,0.7322499999999934,-30.313652845577558,1831.0565679559832,0.8587689011810866,-107.67836116030071,-129.87553345647484,-101.907778,-125.507778,,
3,19,warmup,TFO_C,-125.507778,36,64.68808333333332,65.90831666666666,1.22023333333334,-1.517448402509437,27.768282760231475,0.9191883386042858,-70.39254595533252,-72.24418707768797,-70.1610269,-71.938162,,
3,19,warmup,THM_C,-125.507778,36,64.68808333333332,65.90831666666666,1.22023333333334,16.569627954113468,-1200.5678472725801,0.8095012771713461,-128.71037337455869,-108.49156102401753,-125.507778,-100.677778,,
4,21,cooldown,TFO_C,-126.347778,23,67.12853333333334,67.89555,0.7670166666666631,-1.3899786485696513,21.63173359475486,0.9245907288905959,-71.6754944483746,-72.74163123813832,-71.7784195,-72.8666651,,
4,21,cooldown,THM_C,-126.347778,23,67.12853333333334,67.89555,0.7670166666666631,-27.752498452490425,1753.622881383128,0.836096567256669,-109.36163606815717,-130.6482649228583,-102.957778,-126.347778,,
4,21,warmup,TFO_C,-126.347778,38,67.89555,69.18556666666667,1.2900166666666735,-1.1586080148116153,5.568182155295285,0.9302102667283746,-73.09614624474749,-74.59076989398805,-72.8666651,-74.4441221,,
4,21,warmup,THM_C,-126.347778,38,67.89555,69.18556666666667,1.2900166666666735,16.20316724227589,-1230.9026537524571,0.7427785308261194,-130.7797020961525,-109.877346300829,-126.347778,-101.237778,,
5,23,cooldown,TFO_C,-127.777778,22,70.33606666666667,71.0683,0.7322333333333262,-1.0912458506036498,2.8799802109891828,0.8413366678358611,-73.8739606867925,-74.67300727346617,-74.0048303,-74.8135266,,
5,23,cooldown,THM_C,-127.777778,22,70.33606666666667,71.0683,0.7322333333333262,-32.464043727144286,2175.007025398677,0.8774883974401004,-108.3861184633256,-132.15737341513113,-102.677778,-127.777778,,
5,23,warmup,TFO_C,-127.777778,42,71.0683,72.49778333333333,1.4294833333333372,-1.2572388808084478,14.333577571841905,0.915261477564333,-75.0162523811171,-76.81345440725144,-74.8135266,-76.450887,,
5,23,warmup,THM_C,-127.777778,42,71.0683,72.49778333333333,1.4294833333333372,14.741846955805949,-1179.772072277853,0.7875079714598586,-132.09407026854933,-111.02084574267383,-127.777778,-103.617778,,
6,25,cooldown,TFO_C,-128.527778,24,73.26495,74.06701666666666,0.8020666666666614,-0.9717295974948195,-5.003980827955337,0.8675888159612251,-76.1977012019334,-76.97709312109741,-76.141386,-76.9900179,,
6,25,cooldown,THM_C,-128.527778,24,73.26495,74.06701666666666,0.8020666666666614,-28.849521148823555,2003.2724328912523,0.8127601075636525,-110.3862916012481,-133.5255308640144,-102.777778,-128.527778,,
6,25,warmup,TFO_C,-128.527778,43,74.06701666666666,75.53143333333334,1.4644166666666791,-0.9781600682155972,-4.7949512108299235,0.8936163053611548,-77.24434928602236,-78.67678319258509,-76.9900179,-78.4277002,,
6,25,warmup,THM_C,-128.527778,43,74.06701666666666,75.53143333333334,1.4644166666666791,15.58437276751754,-1287.8197218115063,0.7747395022598885,-133.5317243002387,-110.70970907993956,-128.527778,-100.527778,,
7,27,cooldown,TFO_C,-129.607778,27,76.26358333333333,77.17038333333333,0.906800000000004,-0.770577415058544,-19.237382546500328,0.7515468841200147,-78.00437745460218,-78.70313705457727,-78.1681187,-78.866992,,
7,27,cooldown,THM_C,-129.607778,27,76.26358333333333,77.17038333333333,0.906800000000004,-27.3772480340177,1977.8916806498742,0.8169927432245752,-109.995356229771,-134.82104474701828,-101.277778,-129.607778,,
7,27,warmup,TFO_C,-129.607778,41,77.17038333333333,78.56508333333333,1.3947000000000003,-0.8725811255092002,-11.66694164575082,0.8822987621985209,-79.00436159072724,-80.22135048647493,-78.866992,-80.1948514,,
7,27,warmup,THM_C,-129.607778,41,77.17038333333333,78.56508333333333,1.3947000000000003,17.937289309045394,-1519.1369040089048,0.83356405789484,-134.9094120689699,-109.8922746696444,-129.607778,-100.637778,,
8,29,cooldown,TFO_C,-131.017778,27,79.26245,80.16908333333335,0.9066333333333461,-0.4247839201035726,-45.8595854626998,0.5271224107365267,-79.52899969071322,-79.91412295214312,-79.5958171,-80.1249641,,
8,29,cooldown,THM_C,-131.017778,27,79.26245,80.16908333333335,0.9066333333333461,-27.932800083835094,2102.7539349506287,0.8185387506518267,-111.2682350543464,-136.59304270368784,-102.647778,-131.017778,,
8,29,warmup,TFO_C,-131.017778,50,80.16908333333335,81.87745,1.7083666666666488,-0.8292785061015215,-13.855214253728551,0.8887189369981402,-80.33771191592362,-81.75442367313057,-80.1249641,-81.5027429,,
8,29,warmup,THM_C,-131.017778,50,80.16908333333335,81.87745,1.7083666666666488,12.974559705018065,-1175.7155661812487,0.7765405769635084,-135.55700797634654,-113.3917026616175,-131.017778,-101.297778,,
9,31,cooldown,TFO_C,-131.277778,28,82.50528333333334,83.44678333333333,0.9414999999999907,-0.6030486354558661,-30.864757277252576,0.8102285123598666,-80.61945580931885,-81.18722609960055,-80.7239984,-81.3030648,,
9,31,cooldown,THM_C,-131.277778,28,82.50528333333334,83.44678333333333,0.9414999999999907,-26.639152041559914,2086.1124527565635,0.8107661222449731,-111.75833419208266,-136.83909583921104,-103.057778,-131.277778,,
9,31,warmup,TFO_C,-131.277778,56,83.44678333333333,85.36453333333334,1.9177500000000123,-0.6005999608344821,-31.507915241864183,0.7454383631344952,-81.62605004362769,-82.77785061851803,-81.3030648,-82.4012944,,
9,31,warmup,THM_C,-131.277778,56,83.44678333333333,85.36453333333334,1.9177500000000123,13.624651332513968,-1273.7293470645368,0.8118581737239294,-136.79601932803234,-110.66734423510366,-131.277778,-100.027778,,
10,33,cooldown,TFO_C,-131.607778,30,86.027,87.03836666666666,1.0113666666666603,-0.4861353524481028,-39.766666890950205,0.6694665677689146,-81.58743285600315,-82.07909394695741,-81.6624854,-82.1916324,,
10,33,cooldown,THM_C,-131.607778,30,86.027,87.03836666666666,1.0113666666666603,-24.868771280685603,2027.2086770384715,0.7891411003278769,-112.17710992506886,-137.3285562393114,-102.857778,-131.607778,,
10,33,warmup,TFO_C,-131.607778,49,87.03836666666666,88.71205,1.6736833333333436,-0.7419310083271452,-17.886782936992493,0.8256624756936548,-82.46324608114027,-83.70500364426061,-82.1916324,-83.7191698,,
10,33,warmup,THM_C,-131.607778,49,87.03836666666666,88.71205,1.6736833333333436,13.1392032151601,-1279.4217420564407,0.8424452545505822,-135.80695490749054,-113.81608947299719,-131.607778,-103.327778,,
11,35,cooldown,TFO_C,-135.357778,32,89.2351,90.31603333333334,1.0809333333333342,0.053519571672154834,-87.67840662863416,0.024140477055033416,-82.90258229851226,-82.84473120950611,-83.070216,-82.9504092,,
11,35,cooldown,THM_C,-135.357778,32,89.2351,90.31603333333334,1.0809333333333342,-30.784104806596556,2638.417017969358,0.8789826473003428,-108.60565285776647,-141.88121788004355,-100.097778,-135.357778,,
11,35,warmup,TFO_C,-135.357778,67,90.31603333333334,92.61728333333333,2.301249999999996,-0.6383833296690233,-25.58048071099984,0.8540815296280492,-83.23673079283168,-84.70581043023252,-82.9504092,-84.8173994,,
11,35,warmup,THM_C,-135.357778,67,90.31603333333334,92.61728333333333,2.301249999999996,10.744236141737803,-1110.4776607047913,0.8276762319490153,-140.10087118639512,-115.37569776522105,-135.357778,-102.037778,,
12,37,cooldown,TFO_C,-136.117778,33,93.21008333333333,94.32588333333334,1.1158000000000072,-0.10406116512070122,-74.15731728275782,0.10774023605391825,-83.85686715542214,-83.97297860346382,-84.018687,-84.0885743,,
12,37,cooldown,THM_C,-136.117778,33,93.21008333333333,94.32588333333334,1.1158000000000072,-27.065588986625208,2410.259174575668,0.8335532201994802,-112.5266303334165,-142.72641452469315,-102.587778,-136.117778,,
12,37,warmup,TFO_C,-136.117778,65,94.32588333333334,96.55791666666667,2.2320333333333338,-0.64015944042866,-23.852368186491574,0.8486129294502699,-84.23597287909732,-85.6648300887821,-84.0885743,-85.9855163,,
12,37,warmup,THM_C,-136.117778,65,94.32588333333334,96.55791666666667,2.2320333333333338,11.228931595947993,-1199.407130804507,0.8478183499041592,-140.22823912713625,-115.16488950726034,-136.117778,-102.347778,,
13,39,cooldown,TFO_C,-136.277778,31,97.04594999999999,98.09203333333333,1.0460833333333426,0.10643882036068686,-95.23537561245375,0.14646102942189365,-84.90591917367155,-84.79457529767258,-84.9971097,-84.8773028,,
13,39,cooldown,THM_C,-136.277778,31,97.04594999999999,98.09203333333333,1.0460833333333426,-30.84508358255594,2883.1626395852986,0.8814337970392483,-110.22779951324583,-142.4943273642316,-101.967778,-136.277778,,
13,39,warmup,TFO_C,-136.277778,86,98.09203333333333,101.0558,2.9637666666666718,-0.3093962906040359,-54.92683722688396,0.49417306605671585,-85.27614847802474,-86.1931268909073,-84.8773028,-85.5362406,,
13,39,warmup,THM_C,-136.277778,86,98.09203333333333,101.0558,2.9637666666666718,11.480532666728012,-1268.4756906804396,0.89678067962433,-142.32689765133318,-108.30127761810695,-136.277778,-100.467778,,
14,41,cooldown,TFO_C,-142.697778,40,102.10186666666667,103.4619,1.3600333333333339,0.004240039249366531,-85.02980918246132,0.0003220941856326709,-84.59689326036107,-84.59112666564728,-84.7275442,-84.7075764,,
14,41,cooldown,THM_C,-142.697778,40,102.10186666666667,103.4619,1.3600333333333339,-25.249366649761217,2463.7143619815197,0.8742630919725074,-114.29310511018002,-148.63308539941045,-103.117778,-142.697778,,
14,41,warmup,TFO_C,-142.697778,87,103.4619,106.46158333333332,2.999683333333323,-0.5695851685189417,-25.786373335610143,0.9456695168751524,-84.71673708240004,-86.42531221932016,-84.7075764,-86.7043574,,
14,41,warmup,THM_C,-142.697778,87,103.4619,106.46158333333332,2.999683333333323,10.05400875168024,-1186.9371154268865,0.8677368649994699,-146.73026736142083,-116.57142487581814,-142.697778,-101.447778,,
15,43,cooldown,TFO_C,-132.847778,27,106.94963333333334,107.85655,0.9069166666666604,-0.10789415357445144,-74.25055987205268,0.058703985097772415,-85.78980003565061,-85.88765104176318,-85.9855163,-86.0054841,,
15,43,cooldown,THM_C,-132.847778,27,106.94963333333334,107.85655,0.9069166666666604,-32.417745820253685,3357.578048969116,0.8342992367303156,-109.48798000021498,-138.88817398036645,-100.847778,-132.847778,,
15,43,warmup,TFO_C,-132.847778,64,107.85655,110.05351666666667,2.1969666666666683,-0.6712740873088552,-13.774069182251395,0.9085461087565261,-86.1753763437833,-87.65014313779794,-86.0054841,-87.6628123,,
15,43,warmup,THM_C,-132.847778,64,107.85655,110.05351666666667,2.1969666666666683,10.653047817453835,-1286.143956425767,0.8183676188806395,-137.14297185016676,-113.73858089681448,-132.847778,-101.267778,,
16,45,cooldown,TFO_C,-128.677778,26,110.47184999999999,111.34361666666668,0.8717666666666872,-0.3440512626275339,-48.70730135565771,0.31665530590688773,-86.71528083295723,-87.01521325534051,-87.0238424,-87.1636171,,
16,45,cooldown,THM_C,-128.677778,26,110.47184999999999,111.34361666666668,0.8717666666666872,-26.063030250424813,2768.415736889808,0.8030631438535859,-110.81543148058381,-133.5363124852297,-102.487778,-128.677778,,
16,45,warmup,TFO_C,-128.677778,50,111.34361666666668,113.05221666666667,1.70859999999999,-1.0907404550099105,34.20402153006476,0.8671298764752476,-87.24296557538429,-89.10660471681422,-87.1636171,-88.8009775,,
16,45,warmup,THM_C,-128.677778,50,111.34361666666668,113.05221666666667,1.70859999999999,12.623905807409324,-1538.4439308274032,0.7704929110422636,-132.85260177111218,-111.28339630857272,-128.677778,-100.497778,,
17,47,cooldown,TFO_C,-133.197778,85,113.54028333333333,116.46936666666667,2.929083333333338,-0.392952826744404,-43.77241388453232,0.44910070989278517,-88.3883891697262,-89.53938074532945,-88.3616857,-89.1603981,,
17,47,cooldown,THM_C,-133.197778,85,113.54028333333333,116.46936666666667,2.929083333333338,-3.5837031309653655,290.52354904735097,0.2029304950870946,-116.3711198250104,-126.86808493753557,-100.757778,-133.197778,,
17,47,warmup,TFO_C,-133.197778,70,116.46936666666667,118.87536666666666,2.4059999999999917,-0.25749803339344807,-59.38357587860867,0.6759638494814648,-89.37420874585575,-89.99374901420038,-89.1603981,-89.799368,,
17,47,warmup,THM_C,-133.197778,70,116.46936666666667,118.87536666666666,2.4059999999999917,10.65418361514563,-1378.5120739551746,0.83785650130345,-137.62605594878596,-111.99209017074554,-133.197778,-100.497778,,
18,49,cooldown,TFO_C,-130.297778,27,119.0846,119.99123333333334,0.9066333333333461,0.18438467586692217,-111.37624161311338,0.12310448016581399,-89.4188662413713,-89.25169694807448,-89.6995289,-89.4299635,,
18,49,cooldown,THM_C,-130.297778,27,119.0846,119.99123333333334,0.9066333333333461,-32.08426884330113,3713.925821388801,0.870656179643962,-106.81650010817657,-135.90516771714192,-101.327778,-130.297778,,
18,49,warmup,TFO_C,-130.297778,62,119.99123333333334,122.1181,2.1268666666666576,-0.41318876613915073,-40.08418980317142,0.8210173008436071,-89.66321945168636,-90.54201686542885,-89.4299635,-90.4183701,,
18,49,warmup,THM_C,-130.297778,62,119.99123333333334,122.1181,2.1268666666666576,9.870434193964297,-1318.7833922715763,0.7266759438291849,-134.4178198022944,-113.42472232962496,-130.297778,-100.947778,,
19,51,cooldown,TFO_C,-127.567778,99,122.22266666666665,125.6398,3.4171333333333394,-0.38885736991036174,-42.449996692390094,0.7731129595096582,-89.97718139582093,-91.30595887645396,-90.3384988,-91.1272273,,
19,51,cooldown,THM_C,-127.567778,99,122.22266666666665,125.6398,3.4171333333333394,-1.2989807866823224,42.06430997004338,0.03814300409877114,-116.70058572703454,-121.13937627256627,-100.197778,-127.567778,,
19,51,warmup,TFO_C,-127.567778,57,125.6398,127.59259999999999,1.9527999999999963,-0.5692194380316807,-19.541391486415826,0.7953075714968321,-91.05800783682858,-92.16957955541685,-91.1272273,-92.1256178,,
19,51,warmup,THM_C,-127.567778,57,125.6398,127.59259999999999,1.9527999999999963,10.570463270306663,-1459.9240322360672,0.7686918125380053,-131.85314104739223,-111.21114037313737,-127.567778,-100.887778,,
20,53,cooldown,TFO_C,-135.757778,217,127.94131666666667,135.47301666666667,7.531700000000001,-0.29186327187002503,-54.609369736038424,0.8921657683337525,-91.95074102573072,-94.14896763047419,-91.9658754,-93.9526724,,
20,53,cooldown,THM_C,-135.757778,217,127.94131666666667,135.47301666666667,7.531700000000001,-1.709109724919011,105.48834379264488,0.2594790976032747,-113.17740474129786,-126.04990645647038,-101.247778,-135.757778,,
20,53,warmup,TFO_C,-135.757778,933,135.47301666666667,167.97136666666665,32.49834999999999,-0.14059701560357116,-74.52586413965156,0.8955098896908111,-93.57296597779775,-98.14213699983806,-93.9526724,-97.0177313,,
20,53,warmup,THM_C,-135.757778,933,135.47301666666667,167.97136666666665,32.49834999999999,0.7287384146060776,-227.4440472758251,0.485288440339949,-128.71965588825572,-105.03685983194231,-135.757778,-100.067778,,
20,53,warmup_170min_local,TFO_C,-135.757778,143,167.51793333333333,172.46936666666667,4.951433333333341,1.6023506531408493,-366.52314745589837,0.9768733818009395,-98.10067756642644,-90.1667451307764,-96.9478439,-90.1188529,170.0,5.0
20,53,warmup_170min_local,THM_C,-135.757778,143,167.51793333333333,172.46936666666667,4.951433333333341,2.3960794646312165,-502.2833820158757,0.980037700256651,-100.89710199841454,-89.03307426792406,-102.697778,-89.7677778,170.0,5.0
